district_name,district_number,county,state,region,grade_level,subject,performance_category,school_year,student_group,value
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Approaches Grade Level or Above,2024,African American,52.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Approaches Grade Level or Above,2024,Hispanic,60.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Approaches Grade Level or Above,2024,White,68.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Approaches Grade Level or Above,2024,American Indian,57.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Approaches Grade Level or Above,2024,Asian,94.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Approaches Grade Level or Above,2024,Pacific Islander,67.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Approaches Grade Level or Above,2024,Two or more races,66.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Approaches Grade Level or Above,2024,Special Ed (current),32.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Approaches Grade Level or Above,2024,Special Ed (former),54.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Approaches Grade Level or Above,2024,continuously enrolled,59.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Approaches Grade Level or Above,2024,non-continuously enrolled,56.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Approaches Grade Level or Above,2024,Econ disadv,56.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Approaches Grade Level or Above,2024,EB/EL (Current & Monitored),58.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Approaches Grade Level or Above,2023,African American,57.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Approaches Grade Level or Above,2023,Hispanic,64.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Approaches Grade Level or Above,2023,White,78.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Approaches Grade Level or Above,2023,American Indian,50.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Approaches Grade Level or Above,2023,Asian,75.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Approaches Grade Level or Above,2023,Pacific Islander,83.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Approaches Grade Level or Above,2023,Special Ed (current),39.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Approaches Grade Level or Above,2023,Special Ed (former),62.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Approaches Grade Level or Above,2023,continuously enrolled,64.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Approaches Grade Level or Above,2023,non-continuously enrolled,61.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Approaches Grade Level or Above,2023,Econ disadv,61.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Approaches Grade Level or Above,2023,EB/EL (Current & Monitored),61.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Meets Grade Level or Above,2024,African American,25.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Meets Grade Level or Above,2024,Hispanic,30.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Meets Grade Level or Above,2024,White,48.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Meets Grade Level or Above,2024,American Indian,43.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Meets Grade Level or Above,2024,Asian,69.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Meets Grade Level or Above,2024,Pacific Islander,33.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Meets Grade Level or Above,2024,Two or more races,37.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Meets Grade Level or Above,2024,Special Ed (current),19.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Meets Grade Level or Above,2024,Special Ed (former),22.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Meets Grade Level or Above,2024,continuously enrolled,30.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Meets Grade Level or Above,2024,non-continuously enrolled,28.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Meets Grade Level or Above,2024,Econ disadv,27.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Meets Grade Level or Above,2024,EB/EL (Current & Monitored),28.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Meets Grade Level or Above,2023,African American,32.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Meets Grade Level or Above,2023,Hispanic,34.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Meets Grade Level or Above,2023,White,44.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Meets Grade Level or Above,2023,American Indian,25.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Meets Grade Level or Above,2023,Asian,47.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Meets Grade Level or Above,2023,Pacific Islander,33.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Meets Grade Level or Above,2023,Special Ed (current),23.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Meets Grade Level or Above,2023,Special Ed (former),24.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Meets Grade Level or Above,2023,continuously enrolled,34.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Meets Grade Level or Above,2023,non-continuously enrolled,34.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Meets Grade Level or Above,2023,Econ disadv,32.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Meets Grade Level or Above,2023,EB/EL (Current & Monitored),31.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Masters Grade Level,2024,African American,5.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Masters Grade Level,2024,Hispanic,7.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Masters Grade Level,2024,White,16.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Masters Grade Level,2024,American Indian,14.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Masters Grade Level,2024,Asian,22.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Masters Grade Level,2024,Pacific Islander,17.0
SPRING_BRANCH_ISD,101919,Harris County,Texas,Region 4,3,Reading,At Masters Grade Level,2024,Two or more races,15.0
